id,answer
1,"Công nghệ hàng không vũ trụ (CN7) và Công nghệ nông nghiệp (CN10)."
2,4
3,2
4,"cho các bạn trẻ, những tài năng tương lai của đất nước, đóng góp nhiều hơn"
5,"Nghiên cứu của Lingfei Wu cho thấy các nhóm nghiên cứu lớn có xu hướng phát triển các ý tưởng hiện có, trong khi các nhóm nhỏ có xu hướng tạo ra những ý tưởng mới mang tính đột phá."
6,274
7,"Not enough data to answer."
8,"Dự án LawTech do 2 thành viên đảm nhận: Phạm Tùng Thủy và Đặng Minh Khôi."
9,2012
10,"Jamaica"
11,"PG-13"
12,517
13,"Not enough data to answer."
14,0.99
15,"Accept"
16,"Not enough data to answer."
17,"2023: $2,065.10"
18,-1039
19,"Lightning"
20,"4.796%"
21,"10.87%"
22,"False"
23,29.70
24,"Listening Test 06"
25,"rammed earth"
26,"Listening Test 13, Section 4"
27,"B"
28,"C"
29,"Not enough data to answer."
30,"31,595,859"
31,"Instagram"
32,"27/06/2026"
33,"UET shaped the way I learn and grow"
34,3
35,"Not enough data to answer."
36,"Magnus Carlsen vs Lê Quang Liêm và Jose Martinez Alcantara vs Andrey Esipenko."
37,"22 người tham gia, Thái Lan."
38,"Có, Magnus Carlsen, hiện đứng top 1 thế giới."
39,"Có, Đầu Khương Duy đã từng thi đấu với Fabiano Caruana. Không tìm thấy thông tin Elo chênh lệch."
40,5
41,"Magnus Carlsen, 5 titles."
42,"TacticsCourse"
43,"Dry Excavation Shield Tunneling Machine"
44,"Contact Person 1 and Contact Person 5"
45,2000
46,47799
47,"No paper specification is used the most; all are used once."
48,"Financial Management, Bachelor"
49,"Civil Air Defense Garage and Non-Civil Air Defense Garage"
50,"The file `/documents_4/StoreSalesDataStatisticsAnalysisTable1.xlsx` contains the store sales data statistics organized as requested. This Excel spreadsheet provides a comprehensive daily performance report for Shop A throughout April (April 1st to April 30th). The data is organized by weekdays (Monday through Sunday for each of the four weeks) and includes the following key metrics: Sales Target, Tag Price Sales, Actual Sales, Discount Rate, Promotional Activities, Daily Achievement Rate, Monthly Achievement Rate (which reached 85.3% by the end of April against a monthly target of 50,000), Store Information (area and actual efficiency), Customer Data (number of buyers, average transaction value, total items sold, average items per transaction), Financials (purchase amount and gross profit margin), and Environmental Context (weather and temperature). Sales performance varied significantly, with peak actual sales on weekends (e.g., 7,208.2 on Sunday, April 7th), and promotional activities like ""Storewide 30-50% off"" correlated with higher daily achievement rates. The table provides a clear view of how daily targets, actual performance, and external factors like weather and promotions interact over a full month."
51,"The loan details registration spreadsheet is located at /documents_5/LoanDetailsRegistrationForm1.xlsx. The relationshipis: Interest = Loan Amount × Monthly Interest × Loan Term. In this dataset, Loan Term is 12 months and Monthly Interest is 0.01, so Interest equals 12% of the Loan Amount."
52,"No. Larger order quantity does not mean slower production progress. /documents_1/ProductionManufacturingForm(531).xlsx (Sheet28)."
53,"Norway Chess 2026"
54,20
55,"72.4 ㎡"
56,23
57,1
58,"YP-U385A"
59,"273.33 元/m²"
60,"Not enough data to answer."
61,"B仓"
62,"根据数据湖中的 `documents_6/物资采购 (44).xlsx` 文件，分析联想公司物资采购表的物品流动情况：数据线流动最频繁，总流动数量为180个单位，占比50.8%；当前不存在严重的库存积压，键盘的入库转化率最低（70%），但整体库存量较低，不属于积压范畴。"
63,"Not enough data to answer."
64,"Chinese people love drinking hot water due to historical hygiene practices, public health campaigns, Traditional ChineseMedicine beliefs about balancing Yin and Yang, it being a common expression of care, and as a form of daily wellness (Yangsheng)."
65,1211
66,"1.745.100 VNĐ và 1.869.750 VNĐ"
67,"Trong list deal Diệp Lê, Coolmate xuất hiện ở khung 15:00–16:00 và 16:00–17:00. Trong list deal Will x B Trần, Coolmate xuất hiện ở khung 16:00–17:00 và 17:00–18:00. Có 1 khung giờ trùng nhau là 16:00–17:00."
68,"Tổng phí đăng ký onsite là 500 USD. Đoàn nên đến trước 15:00 ngày 28/7."
69,"FPT"
70,"SamsungVietnam RnD"
71,Not enough data to answer.
72,وُلد صدام حسين في قرية العوجة، التي تبعد حوالي 23 كم عن مدينة تكريت، الواقعة شمال غرب بغداد، وتتبع محافظة صلاح الدين في العراق.
73,"Dựa trên nội dung email từ Phòng Đào tạo - Trường Đại học Công nghệ (file `email/nghi-le-3.png`): viên chức, người lao động và người học được nghỉ 04 ngày liên tục (từ thứ Năm 01/01/2026 đến hết Chủ nhật 04/01/2026) là do ngày làm việc thứ Sáu (02/01/2026) được hoán đổi sang làm bù vào thứ Bảy (10/01/2026)."
74,10
75,2
76,"Not enough data to answer."
77,"Not enough data to answer."
78,"Not enough data to answer."
79,"Not enough data to answer."
80,"Not enough data to answer."
81,"Not enough data to answer."
82,"Not enough data to answer."
83,"Not enough data to answer."
84,"Not enough data to answer."
85,"Not enough data to answer."
86,"Not enough data to answer."
87,"Not enough data to answer."
88,"Trong nhóm video pha cà phê, quy trình bắt đầu bằng xay hạt có 5 biến thể chính: Espresso, Americano, Cappuccino, Latte,và Long Black."
89,"2 video: video_pool/bZJZsfLKIRc.mp4, video_pool/5aDqNwMVEyc.mp4"
90,"1. Chuẩn bị an toàn: Đỗ xe trên bề mặt bằng phẳng và vững chắc, tắt động cơ, bật đèn cảnh báo nguy hiểm, kéo phanh tay và chèn bánh xe ở vị trí đối diện để giữ cho xe không bị lăn.
2. Nới lỏng ốc bánh xe: Sử dụng thanh vặn để nới lỏng các đai ốc (lug nuts) khi bánh xe vẫn còn chạm đất (nới lỏng khoảng 1/2 đến 1 vòng, chưa tháo hẳn).
3. Đặt kích và nâng xe: Đặt kích (jack) vào đúng vị trí nâng được khuyến nghị (thường nằm dưới khung xe hoặc thanh giằngchữ A/bệ đỡ).
4. Tháo lốp cũ: Nâng xe lên cho đến khi lốp cách mặt đất khoảng 6-10 inch. Sau đó tháo hết các ốc bánh xe và nhẹ nhàng tháo lốp bị hỏng ra.
5. Lắp lốp sơ cua: Đặt lốp sơ cua lên trục, lắp các ốc bánh xe và vặn chặt nhẹ bằng tay theo hướng kim đồng hồ.
6. Hạ xe và siết chặt ốc: Hạ xe xuống đất rồi tháo kích. Sau đó, siết chặt tối đa các ốc bánh xe theo chiều xoắn chéo (hình chữ thập hoặc ngôi sao) để đảm bảo lực siết được phân bố đều.
7. Hoàn tất và kiểm tra: Cất gọn lốp cũ, kích và dụng cụ vào đúng vị trí. Kiểm tra lại độ siết của ốc bánh xe bằng cờ lêmoment (torque wrench) nếu có."
91,"Not enough data to answer."
92,"Not enough data to answer."
93,"Not enough data to answer."
94,3
95,"turn left"
96,14
97,"Not enough data to answer."
98,"Not enough data to answer."
99,22
100,"Not enough data to answer."
101,"S_VisAWI đánh giá thiết kế trực quan và chất lượng thẩm mỹ của giao diện; S_UEQ đánh giá trải nghiệm người dùng, bao gồm khả năng sử dụng, hiệu quả và sự hài lòng của người dùng."
102,"Not enough data to answer."
103,"Not enough data to answer."
104,"Klein Moretti"
105,"Dựa trên báo cáo thường niên của FPT giai đoạn 2020–2024, sau khi loại trừ thị trường Nhật Bản, tỷ lệ đóng góp của các thị trường nước ngoài còn lại vào tổng doanh thu của FPT qua từng năm như sau:

- Năm 2020: 28,5%
- Năm 2021: 29,2%
- Năm 2022: 30,1%
- Năm 2023: 31,0%
- Năm 2024: 32,3%"
106,"Vượng giả xung suy, suy giả bạt
Suy thần xung vượng, vượng giả phát

Vượng mà xung suy, suy bị tiêu
Suy mà xung vượng, vượng lại phát"
107,"Nam Mệnh Hoả Linh ca:

Hoả linh nhị diệu cư miếu địa
Tham Lang Tử Phủ nghi tương hội
Vi nhân tinh cấp hữu uy quyền
Chấn áp hương bang chung hữu quy
Hoả Linh tại Mệnh lạc nhân cung
Tây bắc sinh nhân tác sự dung
Phá tận gia tài chung bất cứu
Tu giao đời tật miễn tai hung"
108,"Một hiệp sĩ sẽ chấm dứt cuộc chiến này!
Hiệp sĩ nhuốm hoàng hôn lên chiến trường!
Chúng ta sẽ gọi người ấy là hiệp sĩ Hoàng Hôn!
Dĩ hoàn Hiệp sĩ!
Hiệp sĩ đặt dấu chấm hết cho chiến tranh!"
109,"- Tổng tài sản: 51.650 tỷ VNĐ (2022) → 60.283 tỷ VNĐ (2023), tăng 16,7%
- Doanh thu: 44.010 tỷ VNĐ (2022) → 52.618 tỷ VNĐ (2023), tăng 19,6%
- Lợi nhuận từ hoạt động kinh doanh: 7.589 tỷ VNĐ (2022) → 9.112 tỷ VNĐ (2023), tăng 20,1%
- LNTT, lãi vay và khấu hao (EBITDA): 9.495 tỷ VNĐ (2022) → 11.490 tỷ VNĐ (2023), tăng 21,0%
- Lợi nhuận trước thuế (LNTT): 7.662 tỷ VNĐ (2022) → 9.203 tỷ VNĐ (2023), tăng 20,1%
- Lợi nhuận sau thuế (LNST): 6.491 tỷ VNĐ (2022) → 7.788 tỷ VNĐ (2023), tăng 20,0%
- Lãi cơ bản trên cổ phiếu (EPS): 3.847 (2022) → 4.661 (2023), tăng 21,2%
- Cổ tức tiền mặt trả trong năm: 2.011 tỷ VNĐ (2022) → 2.374 tỷ VNĐ (2023), tăng 18,1%
- Tỷ lệ lợi nhuận trả cổ tức: 37,9% (2022) → 36,7% (2023), giảm 1,2%"
110,"Trong ván đấu giữa Đầu Khương Duy và Fabiano Caruana, Khương Duy đã đi 2 nước cờ thiên tài: Tượng lên H4 (Bh4) thí tượngvà Tượng ăn H3 (Bxh3) thí tượng."
111,"Deep Blue là một siêu máy tính chơi cờ vua do IBM phát triển, không phải trí tuệ nhân tạo, nổi tiếng với trận đấu với Garry Kasparov."
